Time, Name of ad, Localization, Price, Square, URL
24 lutego 2025,"Mieszkanie z balkonem: 43m2, osiedle Stoki","Łódź, Górna",350 000 zł,43 m² - 8139.53 zł/m²,https://olx.pl/d/oferta/mieszkanie-z-balkonem-43m2-osiedle-stoki-CID3-ID147qKq.html
24 lutego 2025,Po Remoncie | Chojny | 1 Piętro | 2 Pokoje!,"Łódź, Górna",329 000 zł,"42,69 m² - 7706.72 zł/m²",https://www.otodom.pl/pl/oferta/po-remoncie-chojny-1-pietro-2-pokoje-ID4uAHO.html
24 lutego 2025,Mieszkanie na poddaszu do generalnego remontu,"Łódź, Górna",200 000 zł,55 m² - 3636.36 zł/m²,https://olx.pl/d/oferta/mieszkanie-na-poddaszu-do-generalnego-remontu-CID3-ID14CpUd.html
23 lutego 2025,Umeblowane mieszkanie dostępne od zaraz,"Łódź, Górna",328 000 zł,47 m² - 6978.72 zł/m²,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-dostepne-od-zaraz-ID4w5Td.html
23 lutego 2025,"Mieszkanie Łódż Górna, 3pok, 47m^2, właściciel","Łódź, Górna",300 000 zł,47 m² - 6382.98 zł/m²,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-gorna-3pok-47m2-wlasciciel-ID4tu3t.html
23 lutego 2025,Dwupokojowe Z Pięknym Widokiem / 37 + 4 M2,"Łódź, Górna",319 000 zł,"40,04 m² - 7967.03 zł/m²",https://www.otodom.pl/pl/oferta/dwupokojowe-z-pieknym-widokiem-37-4-m2-ID4tb7a.html
23 lutego 2025,"Rozkładowe M3, 1 piętro, Traktorowa 78","Łódź, Bałuty",300 000 zł,"44,86 m² - 6687.47 zł/m²",https://www.otodom.pl/pl/oferta/rozkladowe-m3-1-pietro-traktorowa-78-ID4tAZ7.html
23 lutego 2025,"Mieszkanie, Łódź Dąbrowa, bezpośrednio","Łódź, Górna",279 000 złdo negocjacji,"40,32 m² - 6919.64 zł/m²",https://olx.pl/d/oferta/mieszkanie-lodz-dabrowa-bezposrednio-CID3-ID14BJKk.html
Dzisiaj o 13:54,Rozkładowe M3 do własnej aranżacji-Polesie,"Łódź, Polesie",299 000 zł,44 m² - 6795.45 zł/m²,https://www.otodom.pl/pl/oferta/rozkladowe-m3-do-wlasnej-aranzacji-polesie-ID4w6z1.html
Dzisiaj o 15:11,"Sprzedam mieszkanie 3 pokoje, Łódź - Stare Polesie","Łódź, Polesie",336 595 zł,"57,05 m² - 5900 zł/m²",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokoje-lodz-stare-polesie-ID4waKY.html
Dzisiaj o 14:53,"Przestronne 3 pokoje z balkonem – Łódź, Tatrzańska","Łódź, Widzew",339 000 zł,"47,22 m² - 7179.16 zł/m²",https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-z-balkonem-lodz-tatrzanska-ID4wbjx.html
Dzisiaj o 15:49,"2 pokoje, 47,90 m2, ul. Komfortowa","Łódź, Górna",320 000 zł,"47,90 m² - 6680.58 zł/m²",https://www.otodom.pl/pl/oferta/2-pokoje-47-90-m2-ul-komfortowa-ID4wbxH.html
Dzisiaj o 16:43,W Pełni Rozkładowe Mieszkanie W Centrum,"Łódź, Śródmieście",315 000 zł,"43,54 m² - 7234.73 zł/m²",https://www.otodom.pl/pl/oferta/w-pelni-rozkladowe-mieszkanie-w-centrum-ID4sxVO.html
Dzisiaj o 18:37,Mieszkanie dwupokojowe do remontu,"Łódź, Górna",338 000 złdo negocjacji,"45,56 m² - 7418.79 zł/m²",https://olx.pl/d/oferta/mieszkanie-dwupokojowe-do-remontu-CID3-ID14Ga3n.html
